generation,evaluated_individuals,candidates_size,min_fitness,max_fitness,avg_fitness,std_fitness,duration
69,670,4813,404.3593018019061,478.24920649234883,461.1362284640572,12.913511611548204,60.896321
70,731,4758,404.3593018019061,477.10592164923963,460.3407410504494,12.71433158228434,61.916581
71,627,4817,404.3593018019061,476.22298359926873,459.59560198599615,12.59326086971474,62.805457
72,674,4808,404.3593018019061,475.3977457537528,458.84455419784814,12.439827692378685,63.765471
73,656,4808,404.3593018019061,474.36677851505465,458.13895286378005,12.257513683877034,64.68343
74,669,4769,404.3593018019061,473.26767153667515,457.52026873794506,11.975390056366562,65.668953
75,674,4786,404.3593018019061,472.0240776808579,456.84705232246904,11.84808275518793,66.60377799999999
76,658,4800,404.3593018019061,471.04876466016816,456.099146222117,11.687387870462755,67.51970399999999
77,671,4787,404.3593018019061,470.2604570701056,455.5896677079417,11.497499529224614,68.470862
78,689,4785,404.3593018019061,469.2982535114164,455.01084398152506,11.252259122806414,69.428286
79,634,4793,404.3593018019061,468.57108964363704,454.5437827673689,11.064006076509346,70.36783
80,654,4795,404.3593018019061,468.2267128230371,454.15675151903326,10.93492797211368,71.30341899999999
81,625,4821,404.3593018019061,467.6767288660172,453.743127152569,10.83961939875912,72.21678899999999
82,682,4776,404.3593018019061,466.76637315296733,453.2639260782359,10.809546917860631,73.162463
83,684,4806,404.3593018019061,466.02873949110324,452.7181660947801,10.685265847278352,74.100511
84,725,4773,402.84934681063885,465.5726277791429,452.13911695181247,10.698489992863017,75.13097499999999
85,617,4805,402.84934681063885,465.1108743707073,451.70785253862215,10.72254899984651,76.00488299999999
86,640,4800,402.84934681063885,464.52758094489326,451.1289822726339,10.765495413407974,76.93747599999999
87,722,4766,402.84934681063885,464.2105075965602,450.5690699443749,10.704272189599198,77.952985
88,689,4789,402.84934681063885,463.76764652260164,450.2365778900951,10.591107869423224,78.956088
89,614,4820,402.84934681063885,463.3781665426066,449.9175098617348,10.512940519050678,79.84670899999999
90,652,4792,402.84934681063885,462.6299914800036,449.29691010414035,10.45981979944648,80.795603
91,691,4791,402.84934681063885,462.0069685558649,448.7598334454629,10.434924427146468,81.76046
92,626,4778,402.84934681063885,461.4140635561167,448.29600336825,10.343505429691705,82.697503
93,631,4786,402.84934681063885,460.63180383183794,447.83109662660803,10.189355096212713,83.591589
94,616,4800,402.84934681063885,460.0444649796314,447.48205546591544,10.05975480726663,84.46753
95,607,4808,402.84934681063885,459.2926663944675,447.02261495512084,9.998471853328258,85.372727
96,632,4834,401.103791189131,458.8438399273993,446.6625555769991,10.016917616719743,86.288439
97,620,4803,401.103791189131,458.35070452753405,446.32714693088366,9.973440141121664,87.22397699999999
98,575,4832,401.103791189131,457.8367714737773,445.94296636917073,10.101531053588452,88.07080599999999
99,632,4807,401.103791189131,457.36842902735543,445.3570173319967,10.367577376284471,89.002972
