generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,169,523.2448730108606,751.7979696633768,654.0065066672108,41.57466826386503
1,331,506.9636232084642,751.7979696633768,652.0200445193603,42.3932829927027
2,385,506.9636232084642,751.7979696633768,651.087848471574,42.11994009787325
3,451,506.9636232084642,679.6949108793992,634.226233693759,33.78574108711257
4,442,506.9636232084642,657.5511313734658,620.2447407470204,30.063574048134825
5,465,506.9636232084642,643.997045242916,609.5858225099395,27.971711831918892
6,450,502.00382383815304,633.0043001276766,600.5915240829537,26.236786171433568
7,451,502.00382383815304,623.0528962176605,592.2990096200559,25.040136923594986
8,418,492.8453483738664,613.4155959318008,585.5324459824901,24.33893508436276
9,401,478.30157184333336,608.4848587677046,579.9201908441094,23.738130146462765
10,401,478.30157184333336,602.8886019241479,574.0038059345034,23.23518019446105
11,399,478.30157184333336,596.2986900163719,568.646135026657,22.788956777880255
12,359,478.30157184333336,591.6994312224216,564.4763623413763,21.92539680396479
13,370,478.30157184333336,586.8569490430154,560.017931083903,21.18564731559657
14,386,473.74877706794393,581.0065806190071,555.6531921984966,20.652679030170635
15,381,470.36090373114996,575.7916625391922,551.2950005053175,20.267868747604112
16,354,470.36090373114996,572.3912475295514,548.054889227034,19.721510435773656
17,377,470.36090373114996,567.6204898310148,544.7228502028981,19.50534403900471
18,385,433.62812611856367,563.4019990388309,541.47561730767,19.355999259609558
19,406,433.62812611856367,560.1573244300336,538.4928780394775,19.135810373148903
20,365,433.62812611856367,556.6267236947656,535.095152767145,19.199556411019664
21,365,433.62812611856367,553.3179670152572,532.0897478207252,19.029103797125604
22,369,433.62812611856367,550.1009958806623,529.262955732673,18.839625273658353
23,374,433.62812611856367,547.1771786284064,526.4791398737269,18.77052118652707
24,366,433.62812611856367,544.6991780474798,523.970439780532,18.40835533741197
25,387,433.62812611856367,542.3219020638562,521.4998745113655,18.09103050540955
26,333,433.62812611856367,539.9925342670805,519.2022174004526,17.944752597285284
27,391,433.62812611856367,536.874911092797,516.3295333048421,17.807302286662797
28,406,433.62812611856367,533.5974528805945,513.340544640341,17.398164176062348
29,370,433.62812611856367,530.7574323317388,510.9685780711391,16.747428148855846
30,345,433.62812611856367,528.0302871386328,508.96790054954374,16.345473775643168
31,351,433.62812611856367,525.9499728727371,506.95219810714104,16.126896809284734
32,341,433.62812611856367,523.4515704463416,504.75150244475924,15.949654364181958
33,330,420.0339773782832,521.3460662283262,502.263230594118,15.989796701794173
34,396,420.0339773782832,518.77055979244,499.5452195167392,16.04882572547981
35,369,420.0339773782832,516.6853980365424,497.2013813566404,16.099807169223904
36,373,420.0339773782832,514.2460400349673,494.4772210524581,15.854262256645507
37,406,420.0339773782832,511.4389648226175,491.98354772273325,15.659179115694347
38,384,420.0339773782832,508.396355913653,489.31248089752887,14.949418531324907
39,349,419.59869151755197,505.75022584363563,487.1138032304742,14.65893106428674
40,375,419.59869151755197,502.1345723213032,484.45657869799913,14.909518408233152
41,362,419.59869151755197,499.94574762634215,481.7087770795964,15.330141413717529
42,364,419.59869151755197,496.5753571206627,479.39549412709647,15.32331442337696
43,367,419.59869151755197,493.61118877724533,477.18751739227196,15.642915143313747
44,358,419.59869151755197,492.3039524154474,475.38519528092127,15.80335298702798
45,356,419.59869151755197,490.4436260463305,473.3294253571104,15.867160028337084
46,315,419.59869151755197,488.20690221656815,471.4695603416444,15.663798457731431
47,356,419.02998691583986,486.4727243823022,469.2297622157132,15.598918139666434
48,369,417.79411608318117,484.8295570946203,467.06825398280574,15.492644786888786
49,403,417.79411608318117,482.7450727555281,464.875063063092,15.23563591059133
50,387,416.9607025936866,480.2960894276738,462.78744982399024,14.986582496850819
51,387,415.72483176102793,478.0515884049675,460.56162569629487,14.837262784962384
52,381,415.72483176102793,475.40239399556083,458.2452904668285,14.726905178270476
53,410,411.77911758869215,472.9585725263005,455.87505624504837,14.324922085686124
54,409,410.5432467560334,470.5588191307659,453.72292577014673,13.730908543130088
55,378,410.5432467560334,468.67478728444814,451.6910029849973,13.229889486253908
56,386,410.5432467560334,465.43359858741684,449.4657732917472,12.956865324748017
57,388,410.5432467560334,463.2000775282892,447.40973981552673,12.585014077467264
58,414,410.5432467560334,460.49540206893784,445.2371681342959,12.313236372265562
59,421,403.38401463873805,457.64197894980646,443.11709333243584,12.011016137530229
60,433,403.38401463873805,456.1724052388721,440.96816392817533,11.670166912582388
61,382,403.38401463873805,454.44523139943254,438.9813003881465,11.346559955438753
62,403,399.2316353360199,451.1992563328434,437.0365042391131,10.918103048828852
63,451,399.2316353360199,448.7996497866701,434.76905224701886,10.312504630977184
64,429,395.7447374399545,446.18028960490705,432.5589293846789,9.827725667139607
65,412,395.7447374399545,444.00810415609953,430.75393463095776,9.478032447178803
66,389,393.6134529267252,441.43502746077166,428.9351017357971,9.29859979826674
67,427,392.3605958131836,438.7023564351134,427.1438024770923,9.281183981973268
68,422,392.3605958131836,436.6176631251761,425.47102856540454,9.12689408952348
69,434,392.3605958131836,434.3081358445819,423.8998879058837,9.0770234896536
70,419,392.3605958131836,433.06630530727404,422.4184451790111,9.057242297666928
71,484,392.3605958131836,431.38916989679876,420.6357569275504,9.043024380745141
72,419,392.3605958131836,429.99039597900816,419.0140104921475,8.910630636324825
73,403,392.3605958131836,428.0460800771475,417.49142827299454,8.75759915584744
74,454,392.3605958131836,425.447775159394,415.88233632936385,8.71836582942317
75,422,392.3605958131836,424.2563746823428,414.4287046402539,8.644937814886275
76,440,392.3605958131836,422.16526189151256,413.19643301640934,8.516999899578702
77,414,392.3605958131836,421.2965105067109,411.9470715157031,8.441071295831525
78,404,385.38932642516,420.46629109786005,410.7682817064323,8.362830883145458
79,444,385.38932642516,419.59869151755197,409.6103945980997,8.1341147293643
80,402,385.38932642516,417.8507964779871,408.4917391093957,7.872482352867027
81,388,385.38932642516,416.8538220822032,407.2793650059982,7.5188579166112035
82,407,385.38932642516,415.72483176102793,406.4529921068419,7.30670619520941
83,417,385.38932642516,414.39991088579234,405.65888951863343,7.1043311812559935
84,418,385.38932642516,413.7932770228317,404.85685770400846,6.891526837143233
85,450,385.38932642516,413.16404005313365,404.1103980744089,6.598056171031637
86,352,385.38932642516,412.83453725036003,403.3098433346115,6.31511787629493
87,378,385.38932642516,411.9054375287108,402.52452375749095,5.921363920804536
88,388,385.38932642516,411.3026180784073,401.7868893218571,5.527506464385113
89,381,385.38932642516,410.5432467560334,401.0640235156303,5.041136840349343
90,365,385.38932642516,409.4588006195555,400.1403697226384,4.375400585025662
91,356,385.38932642516,407.491246870908,399.60645307729493,3.9277430105079105
92,340,385.38932642516,406.4024162380025,399.23571278462884,3.625386272282008
93,357,385.38932642516,404.9121892125528,398.7607843223197,3.2549035526985333
94,354,385.38932642516,404.52799981920435,398.4370910954192,2.987648533109792
95,321,385.38932642516,403.7680023923448,398.1387927999484,2.7533635455762377
96,365,385.38932642516,402.3742665958865,397.8088328124976,2.548855712296366
97,364,385.38932642516,401.1383957632279,397.5526921228129,2.4104938491119894
98,329,385.38932642516,400.4675061686786,397.3385038674764,2.3268337766859193
99,353,385.38932642516,400.4675061686786,397.10645480682325,2.2887858381964623
100,357,385.38932642516,399.832610542759,396.91284371059544,2.2498439692281935
101,368,385.38932642516,399.2316353360199,396.7391540965562,2.206434266059045
102,367,385.38932642516,399.13494280446474,396.54556425391667,2.2167298313685246
103,364,385.38932642516,399.13494280446474,396.397048576277,2.187818421266946
104,332,385.38932642516,399.13494280446474,396.22631318902245,2.1646336672285083
105,331,385.38932642516,398.59673971010034,396.09665678237616,2.139500211956858
106,336,385.38932642516,398.33622165544926,395.9625451589656,2.1141430734155113
107,347,385.38932642516,398.33622165544926,395.8068627885496,2.108437584921235
108,372,385.38932642516,398.33622165544926,395.7063585446423,2.0679966119021516
109,371,385.38932642516,397.899071971806,395.5542188718528,2.0434821401106515
110,335,385.38932642516,397.899071971806,395.467567910653,2.0337446546332805
111,327,385.38932642516,397.899071971806,395.39127803812926,2.006709019637457
112,319,385.38932642516,397.6514978671625,395.32008748004193,1.9777837886572487
113,313,385.38932642516,397.6514978671625,395.2565026400663,1.958038706305006
114,343,385.38932642516,397.62498781319744,395.15449270765146,1.9440721541665138
115,328,385.38932642516,397.62498781319744,395.03844428813784,1.9314718254012522
116,314,385.38932642516,397.62498781319744,394.95002667999927,1.8914198789118888
117,318,385.38932642516,397.62498781319744,394.84895963720544,1.8588143152767076
118,336,385.38932642516,397.62498781319744,394.7538772169867,1.8025430195762764
119,351,385.38932642516,397.1003508227906,394.6515349103501,1.7892587231552228
120,349,385.38932642516,397.1003508227905,394.5407192378149,1.7678368387088246
121,347,385.38932642516,397.1003508227905,394.4486803724209,1.749391467032763
122,327,385.38932642516,396.94760516380813,394.3348152130469,1.7103080359792293
123,339,385.38932642516,396.38911698053874,394.26855659196286,1.6771490944430953
124,340,385.38932642516,396.3891169805387,394.1723139681629,1.6405965246657497
125,357,385.38932642516,396.3891169805387,394.08901733272114,1.6114316419852721
126,296,384.6780925829082,396.3891169805387,394.03044492529295,1.6040542341655872
127,327,384.6780925829082,395.7447374399546,393.9541138210666,1.6123297010867157
128,308,384.6780925829082,395.7447374399545,393.9031140838818,1.6120728353956502
129,317,384.6780925829082,395.7447374399545,393.84852616258195,1.579899173898985
130,295,384.6780925829082,395.7447374399545,393.79764326496274,1.573436333897576
131,302,384.6780925829082,395.7447374399545,393.7546161609039,1.5638415577732891
132,354,384.6780925829082,395.109841814035,393.6799483559335,1.6191134095148998
133,301,384.6780925829082,395.10984181403495,393.62115505244566,1.668188849966607
134,291,384.6780925829082,395.10984181403495,393.5700665081279,1.6692049448594048
135,301,384.6780925829082,395.10984181403495,393.5136003629466,1.71691491063574
136,309,384.6780925829082,394.9543284745237,393.471344871942,1.7464991113427752
137,327,384.6780925829082,394.9543284745237,393.40269117082414,1.80827294560925
138,332,384.6780925829082,394.9543284745237,393.3445301356471,1.8641806732563955
139,352,384.6780925829082,394.8163206505788,393.2935956357412,1.9091308423436433
140,303,384.6780925829082,394.41217407574067,393.2394519724641,1.9673715571298007
141,322,384.6780925829082,394.41217407574067,393.2271098706134,1.9638392174242356
142,299,384.6780925829082,394.41217407574067,393.201207275082,1.966564967483905
143,343,384.6780925829082,394.41217407574067,393.150632300046,2.0201556752575325
144,333,384.6780925829082,394.41217407574067,393.1117096430683,2.050939774445155
145,285,384.6780925829082,394.41217407574067,393.0752820259523,2.0758742180648655
146,285,384.6780925829082,394.41217407574067,393.03410780448473,2.1051305498994224
147,296,384.6780925829082,394.41217407574067,393.01478665219065,2.1070536090582497
148,280,384.6780925829082,394.41217407574067,392.9994591056415,2.1107216235826796
149,287,384.6780925829082,394.41217407574067,392.9776322391204,2.1123127078031967
150,327,384.6780925829082,394.41217407574067,392.9255044851404,2.1736283454863843
151,309,384.6780925829082,394.41217407574067,392.8617237996791,2.231037514482209
